"name","min_players","max_players","play_time","min_age","users_rated","rating_average","bgg_rank","complexity_average","mechanics","domains","game_age","Stars"
"Spheres of Influence: Struggle for Global Supremacy",2,8,90,14,376,7.88,3158,2.38,"Action Points, Area Majority , Influence, Dice Rolling, Point to Point Movement, Variable Phase Order","Strategy Games, Wargames",6,"4"
"Korea: The Forgotten War",2,2,360,16,293,8.08,3159,4.25,"Dice Rolling, Hexagon Grid, Simulation","Wargames",19,"5"
"Goblins, Inc.",2,4,60,13,1057,6.42,3160,2.36,"Dice Rolling, Team-Based Game, Tile Placement","Thematic Games",10,"4"
"Legendary Inventors",2,5,40,10,1180,6.39,3161,1.97,"Action Retrieval, Area Majority , Influence, Set Collection, Variable Player Powers","Family Games",6,"4"
"Light Speed",2,5,10,10,1203,6.35,3162,1.16,"Tile Placement","Party Games, Thematic Games",19,"4"
"Godspeed",2,5,90,10,419,7.32,3163,2.65,"Auction,Bidding, Worker Placement","Strategy Games",2,"4"
"Ultimate Werewolf: Inquisition",3,12,60,8,877,6.55,3164,1.68,"Player Elimination, Role Playing, Team-Based Game, Traitor Game, Variable Player Powers, Voting","Party Games",9,"4"
"War at Sea (Second Edition)",2,2,120,12,976,6.5,3165,1.94,"Area Movement, Dice Rolling","Wargames",46,"4"
"Fist of Dragonstones",3,6,45,8,2116,6.16,3166,1.86,"Auction,Bidding, Set Collection","Family Games, Strategy Games",20,"4"
"High Treason: The Trial of Louis Riel",2,2,45,13,395,7.32,3167,2.75,"Hand Management, Simulation","Basic",6,"4"
"Formula Dé Mini",2,6,60,8,894,6.52,3168,1.74,"Push Your Luck, Roll , Spin and Move","Family Games",19,"4"
"The Mighty Endeavor",1,2,360,12,393,7.38,3169,2.85,"Dice Rolling, Hexagon Grid, Simulation","Wargames",17,"4"
"Tudor",2,4,120,12,557,6.93,3170,2.91,"Pattern Recognition, Set Collection, Worker Placement","Basic",4,"4"
"Mythos",1,10,45,10,811,6.64,3171,2.53,"Set Collection","Customizable Games",26,"4"
"Sheep & Thief",2,4,30,10,728,6.64,3172,1.66,"Card Drafting, Tile Placement","Basic",8,"4"
"Carrier: The Southwest Pacific Campaign - 1942-1943",1,1,360,12,394,7.4,3173,4.03,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Scenario , Mission , Campaign Game, Simulation, Solo , Solitaire Game, Variable Set-up","Wargames",32,"4"
"Sequence",2,12,30,7,7513,6.02,3174,1.34,"Hand Management, Pattern Building, Team-Based Game","Family Games",40,"4"
"Battle Above the Clouds",2,2,180,0,266,8.14,3175,3.76,"Hexagon Grid","Wargames",12,"5"
"Mutant Meeples",2,7,45,8,774,6.63,3176,2.46,"Grid Movement, Modular Board, Variable Player Powers","Abstract Games",10,"4"
"Space Race: The Card Game",1,4,60,13,596,6.94,3177,3,"Card Drafting, Hand Management, Simulation, Simultaneous Action Selection","Strategy Games",5,"4"
"Zona: The Secret of Chernobyl",1,4,180,18,464,7.47,3178,2.81,"Action Points, Dice Rolling, Push Your Luck, Time Track, Variable Player Powers","Thematic Games",3,"4"
"Legendary: A James Bond Deck Building Game",1,5,45,14,304,7.86,3179,2.11,"Cooperative Game, Deck Bag and Pool Building, Solo , Solitaire Game","Basic",3,"4"
"Stalingrad Pocket: The Wehrmacht's Greatest Disaster - 2nd Edition",2,2,900,15,420,7.33,3180,2.66,"Dice Rolling, Hexagon Grid, Ratio , Combat Results Table, Zone of Control","Wargames",26,"4"
"Munchkin Apocalypse",3,6,90,10,1348,6.46,3181,2.07,"Dice Rolling, Hand Management, Variable Player Powers","Party Games",10,"4"
"WeyKick",2,4,10,3,501,6.94,3182,1.03,"Team-Based Game","Family Games, Party Games",21,"4"
"Deadline",2,4,60,14,632,6.78,3183,2.06,"Cooperative Game, Hand Management, Set Collection, Variable Player Powers","Thematic Games",5,"4"
"Dust Tactics: Revised Core Set",2,4,45,14,445,7.37,3184,2.53,"Action Points, Dice Rolling, Modular Board","Wargames",11,"4"
"Asteroyds",2,6,30,10,1154,6.36,3185,2.15,"Action Queue, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Programmed Movement, Set Collection, Simultaneous Action Selection, Team-Based Game, Variable Player Powers","Family Games",12,"4"
"The Burning Blue",2,2,300,12,339,7.67,3186,4.05,"Dice Rolling, Hexagon Grid, Simulation","Wargames",16,"4"
"Rome & Roll",1,4,90,14,447,7.14,3187,3.17,"Dice Rolling, Drafting, Line Drawing, Paper-and-Pencil, Variable Player Powers","Basic",2,"4"
"Gods Love Dinosaurs",2,5,45,10,358,7.43,3188,2.4,"Drafting, Tile Placement","Basic",2,"4"
"Gaïa",2,5,30,8,1440,6.26,3189,1.98,"Area Majority , Influence, Card Drafting, Hand Management, Memory, Modular Board, Set Collection, Tile Placement","Family Games, Strategy Games",8,"4"
"The King's Abbey",1,5,180,12,590,6.95,3190,3.21,"Dice Rolling, Worker Placement","Strategy Games",6,"4"
"18OE: On the Rails of the Orient Express",2,8,720,14,267,8.13,3191,4.54,"Auction,Bidding, Network and Route Building, Stock Holding, Tile Placement","Strategy Games",8,"5"
"Hanafuda",2,7,60,8,726,6.72,3192,1.71,"Hand Management, Push Your Luck, Set Collection","Family Games",321,"4"
"Catacombs & Castles",2,8,60,14,579,6.86,3193,2.18,"Flicking","Basic",5,"4"
"Kick-Ass: The Board Game",1,4,90,18,431,7.33,3194,2.86,"Cooperative Game","Thematic Games",4,"4"
"Nosferatu",5,8,20,10,821,6.6,3195,1.39,"Hand Management, Team-Based Game","Party Games",9,"4"
"Magna Grecia",2,4,90,12,809,6.56,3196,2.95,"Hexagon Grid, Network and Route Building, Tile Placement","Strategy Games",19,"4"
"Batavia",3,5,60,10,1138,6.4,3197,2.41,"Auction,Bidding, Set Collection, Stock Holding","Family Games, Strategy Games",14,"4"
"Bison: Thunder on the Prairie",2,4,90,10,1292,6.32,3198,2.73,"Action Points, Area Majority , Influence, Area Movement, Modular Board, Tile Placement","Strategy Games",16,"4"
"Royal Visit",2,2,30,12,1198,6.35,3199,1.67,"Hand Management, Tug of War","Family Games, Strategy Games",16,"4"
"Nippon Rails",2,4,240,10,593,6.88,3200,2.62,"Crayon Rail System, Network and Route Building, Pick-up and Deliver","Strategy Games",30,"4"
"Guderian's Blitzkrieg II",1,6,4500,12,281,8.14,3201,4.4,"Dice Rolling, Hexagon Grid, Simulation","Wargames",21,"5"
"Dracula",2,2,30,12,1667,6.22,3202,1.92,"Hand Management, Memory, Secret Unit Deployment","Family Games, Strategy Games",19,"4"
"Illuminati: New World Order",2,6,120,12,1253,6.38,3203,2.88,"Action Points, Deck Bag and Pool Building, Dice Rolling, Hand Management, Tile Placement, Variable Player Powers","Customizable Games",28,"4"
"Funkoverse Strategy Game: DC Comics 100",2,4,60,10,504,7.07,3204,2.25,"Action Points, Dice Rolling, Grid Movement, Variable Player Powers","Basic",3,"4"
"X nimmt!",2,4,25,8,591,6.81,3205,1.3,"Pattern Building","Basic",6,"4"
"Talisman (Third Edition)",2,8,120,9,1591,6.34,3206,2.09,"Dice Rolling, Role Playing, Roll , Spin and Move, Variable Player Powers","Thematic Games",28,"4"
"Valley of the Mammoths",3,6,180,12,1130,6.41,3207,2.52,"Dice Rolling, Modular Board, Player Elimination","Thematic Games",31,"4"
"1841: Railways in Northern Italy",2,8,300,14,266,7.99,3208,4.38,"Network and Route Building, Stock Holding, Tile Placement","Strategy Games",28,"4"
"North Wind",2,4,60,10,981,6.46,3209,1.94,"Dice Rolling, Memory, Push Your Luck, Trading","Family Games",8,"4"
"Case Blue",2,2,22500,12,289,8.26,3210,4.58,"Dice Rolling, Hexagon Grid, Simulation","Wargames",15,"5"
"Lines of Action",2,2,20,10,452,7.15,3211,2.71,"Grid Movement, Pattern Building, Static Capture","Abstract Games",53,"4"
"Wooly Wars",2,4,30,7,2643,6.1,3212,1.66,"Enclosure, Hand Management, Player Elimination, Tile Placement","Family Games",20,"4"
"Scorpius Freighter",2,4,75,14,463,7.1,3213,2.36,"Card Drafting, Rondel, Set Collection, Tile Placement, Variable Player Powers","Strategy Games",4,"4"
"PIX",4,9,30,8,706,6.66,3214,1.42,"Pattern Recognition","Basic",10,"4"
"Bastogne: Screaming Eagles Under Siege 18-27 Dec' 44",2,2,300,0,372,7.41,3215,2.63,"Dice Rolling, Hexagon Grid","Wargames",13,"4"
"Black Stories",2,15,20,12,4079,6.04,3216,1.29,"Storytelling","Party Games, Thematic Games",18,"4"
"Trieste",3,3,25,13,724,6.62,3217,2.19,"Hand Management, Simultaneous Action Selection, Take That, Variable Player Powers","Family Games, Strategy Games",9,"4"
"Starfighter",2,2,30,13,627,6.78,3218,2.82,"Hand Management, Take That","Strategy Games",7,"4"
"Graenaland",3,5,90,12,661,6.72,3219,3.01,"Modular Board, Team-Based Game, Voting","Strategy Games",16,"4"
"Maka Bana",3,6,60,10,743,6.65,3220,2.05,"Secret Unit Deployment, Simultaneous Action Selection","Family Games, Strategy Games",19,"4"
"Urland",3,5,90,12,768,6.57,3221,2.57,"Action Points, Area Majority , Influence, Auction,Bidding, Variable Player Powers","Strategy Games",21,"4"
"Tsukiji",2,4,30,8,412,7.33,3222,1.82,"Card Drafting, Commodity Speculation, Set Collection, Simultaneous Action Selection","Basic",5,"4"
"Fortuna",2,4,60,10,874,6.5,3223,2.41,"Dice Rolling, Hand Management, Point to Point Movement, Worker Placement","Family Games, Strategy Games",11,"4"
"Stonewall Jackson's Way II: Battles of Bull Run",0,2,720,0,218,8.57,3224,3.74,"Dice Rolling, Hexagon Grid","Wargames",9,"5"
"The Agents",2,5,40,8,1460,6.28,3225,2.37,"Hand Management","Strategy Games",9,"4"
"La Bataille des Quatre Bras",1,2,480,12,310,7.98,3226,4,"Dice Rolling, Hexagon Grid, Solo , Solitaire Game","Wargames",31,"4"
"Pirate Fluxx",2,6,40,8,2472,6.17,3227,1.42,"Hand Management, Set Collection, Take That","Family Games, Party Games",11,"4"
"Ascension: Gift of the Elements",1,4,60,13,337,7.65,3228,2.33,"Card Drafting, Deck Bag and Pool Building, Hand Management","Strategy Games",5,"4"
"Monty Python Fluxx",2,6,40,13,4837,6.06,3229,1.35,"Hand Management, Set Collection, Singing","Party Games",14,"4"
"Rock the Beat",4,12,30,8,1249,6.32,3230,1.06,"Acting, Memory, Pattern Recognition","Party Games",14,"4"
"Kingdom of Heaven: The Crusader States 1097-1291",2,2,180,12,320,7.67,3231,3.32,"Area Majority , Influence, Campaign , Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation, Variable Phase Order, Variable Player Powers","Wargames",10,"4"
"Cartagena 2. The Pirate's Nest",2,5,45,8,902,6.48,3232,1.56,"Action Points, Hand Management, Modular Board, Race, Track Movement","Family Games",16,"4"
"War Room",2,6,360,14,292,8.44,3233,3.61,"Secret Unit Deployment, Simulation, Simultaneous Action Selection, Team-Based Game","Wargames",3,"5"
"On the Origin of Species",2,4,80,9,490,7.22,3234,2.39,"Hand Management, Tile Placement","Strategy Games",3,"4"
"Ark",3,5,45,8,1370,6.26,3235,2.21,"Card Drafting, Set Collection, Tile Placement","Family Games, Strategy Games",17,"4"
"Roll For It!",2,4,30,8,2626,6.12,3236,1.04,"Dice Rolling","Family Games",11,"4"
"Zombie in My Pocket",1,1,5,11,1659,6.3,3237,1.3,"Modular Board, Pick-up and Deliver, Prisoner's Dilemma, Tile Placement","Thematic Games",15,"4"
"Last Friday",2,6,120,14,1148,6.45,3238,2.29,"Campaign , Battle Card Driven, Hidden Movement, Memory, Point to Point Movement, Secret Unit Deployment, Team-Based Game, Variable Player Powers","Thematic Games",6,"4"
"Corporate America",3,6,120,13,457,7.26,3239,2.17,"Auction,Bidding, Set Collection","Party Games, Thematic Games",9,"4"
"Bomb Squad",2,6,30,10,852,6.49,3240,2.25,"Action Queue, Communication Limits, Cooperative Game, Grid Movement, Hand Management, Memory, Modular Board, Programmed Movement, Variable Player Powers","Basic",9,"4"
"Clubs",2,6,30,8,826,6.54,3241,1.43,"Ladder Climbing, Push Your Luck, Trick-taking","Family Games",9,"4"
"A Victory Denied: Crisis at Smolensk, July-September, 1941",2,2,240,0,388,7.37,3242,2.57,"Chit-Pull System, Dice Rolling, Hexagon Grid, Ratio , Combat Results Table, Simulation, Zone of Control","Wargames",13,"4"
"Sentinel Tactics: The Flame of Freedom",2,8,60,13,748,6.65,3243,2.5,"Dice Rolling, Grid Movement, Modular Board, Roll , Spin and Move, Team-Based Game, Variable Player Powers","Thematic Games",8,"4"
"Warmaster",2,99,120,12,450,7.19,3244,2.91,"Dice Rolling, Line of Sight, Variable Player Powers","Thematic Games, Wargames",22,"4"
"Tranquility",1,5,20,8,409,7.41,3245,1.46,"Communication Limits, Cooperative Game, Hand Management, Tile Placement","Family Games",2,"4"
"Aeroplanes: Aviation Ascendant",3,5,120,14,745,6.6,3246,2.94,"Area Majority , Influence, Card Drafting, Dice Rolling, Network and Route Building, Point to Point Movement","Strategy Games",10,"4"
"Truffle Shuffle",2,4,30,14,429,7.2,3247,1.4,"Card Drafting, Set Collection","Basic",2,"4"
"Triumph of Chaos",2,2,360,12,338,7.57,3248,4.35,"Campaign , Battle Card Driven, Dice Rolling, Hand Management, Movement Points, Point to Point Movement, Simulation","Wargames",17,"4"
"Electronic Catch Phrase",4,99,20,8,841,6.55,3249,1.06,"Hot Potato, Team-Based Game","Party Games",22,"4"
"Sheepland",2,4,30,8,869,6.56,3250,1.79,"Action Points, Area Movement, Dice Rolling, Point to Point Movement, Stock Holding","Family Games",10,"4"
"Article 27: The UN Security Council Game",3,6,30,10,878,6.49,3251,2.12,"Trading, Voting","Family Games, Thematic Games",10,"4"
"Empires of the Void",2,4,120,12,672,6.72,3252,2.92,"Action Points, Dice Rolling, Set Collection, Trading","Strategy Games, Thematic Games",10,"4"
"Canasta",2,6,45,12,1166,6.39,3253,2.14,"Hand Management, Set Collection","Abstract Games, Family Games",83,"4"
"Age of Mythology: The Boardgame",2,4,120,10,3167,6.12,3254,2.93,"Campaign , Battle Card Driven, Dice Rolling, Rock-Paper-Scissors, Secret Unit Deployment, Variable Phase Order, Variable Player Powers","Strategy Games",19,"4"
"Battle For Souls",1,4,60,14,635,6.91,3255,2.36,"Deck Bag and Pool Building, Hand Management, Push Your Luck, Set Collection, Team-Based Game","Thematic Games",9,"4"
"Kulami",2,2,30,10,455,7.15,3256,1.67,"Area Majority , Influence, Modular Board","Abstract Games",11,"4"
"CABO (Second Edition)",2,4,45,8,414,7.23,3257,1.18,"Hand Management, Memory, Set Collection","Basic",3,"4"
"Igel Ärgern",2,6,30,8,1012,6.41,3258,1.38,"Roll , Spin and Move","Family Games",32,"4"
"Tahuantinsuyu",3,4,180,12,399,7.19,3259,3.27,"Hand Management, Line Drawing, Network and Route Building","Strategy Games",18,"4"
"Tyros",3,4,90,10,890,6.47,3260,2.47,"Trading","Strategy Games",20,"4"
"Okko: Era of the Asagiri",2,2,40,12,757,6.71,3261,2.23,"Area Majority , Influence, Dice Rolling, Die Icon Resolution, Grid Movement, Modular Board, Variable Player Powers","Thematic Games, Wargames",14,"4"
"Flotilla",3,5,150,14,384,7.32,3262,3.85,"Action Retrieval, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Market, Modular Board, Pick-up and Deliver, Tile Placement","Basic",3,"4"
"Versailles 1919",1,4,120,13,303,7.69,3263,2.59,"Area Majority , Influence, Auction,Bidding, End Game Bonuses, Events, Negotiation, Simulation, Solo , Solitaire Game, Sudden Death Ending, Track Movement","Strategy Games, Wargames",2,"4"
"Attribute",3,8,30,8,1078,6.38,3264,1.18,"Hand Management","Party Games",20,"4"
"Granada",2,6,60,8,481,6.98,3265,2.22,"Commodity Speculation, Set Collection, Tile Placement","Family Games",13,"4"
"Uruk: Wiege der Zivilisation",2,4,60,12,633,6.7,3266,2.5,"Action Points, Auction,Bidding, Card Drafting, Hand Management","Strategy Games",14,"4"
"Exploding Kittens",2,5,15,7,21552,6.04,3267,1.07,"Hand Management, Hot Potato, Player Elimination, Push Your Luck, Set Collection, Take That","Party Games",7,"4"
"Tribes: Dawn of Humanity",2,4,45,10,562,6.91,3268,2.08,"Closed Economy Auction, Grid Movement, Increase Value of Unchosen Resources, Tile Placement","Basic",4,"4"
"Dungeoneer: Tomb of the Lich Lord",2,4,60,12,2586,6.11,3269,2.19,"Action Points, Dice Rolling, Hand Management, Modular Board, Tile Placement, Variable Player Powers","Thematic Games",19,"4"
"Escape from 100 Million B.C.",1,6,90,13,556,6.9,3270,2.75,"Cooperative Game, Critical Hits and Failures, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Pick-up and Deliver, Stat Check Resolution","Thematic Games",5,"4"
"Roads to Gettysburg",2,2,180,12,301,7.74,3271,3.44,"Hexagon Grid","Wargames",29,"4"
"Necromunda: Underhive",2,4,60,12,326,7.87,3272,3.85,"Action Points, Dice Rolling, Modular Board, Variable Player Powers","Basic",5,"4"
"Black Vienna",3,6,60,10,458,7.02,3273,2.62,"Paper-and-Pencil","Strategy Games",35,"4"
"Amazonas",3,4,50,10,1229,6.33,3274,2.14,"Hand Management, Network and Route Building, Set Collection, Simultaneous Action Selection","Family Games, Strategy Games",17,"4"
"Ristorante Italia",2,5,90,10,614,6.83,3275,2.39,"Auction,Bidding, Card Drafting, Set Collection, Worker Placement","Family Games",11,"4"
"Jetpack Joyride",1,4,20,8,642,6.76,3276,1.13,"Tile Placement","Basic",3,"4"
"Break the Code",2,4,15,10,395,7.28,3277,1.8,"Paper-and-Pencil","Basic",5,"4"
"Expancity",2,4,90,10,601,6.99,3278,2,"Action Points, Modular Board, Simulation, Tile Placement","Basic",4,"4"
"Under the Lily Banners",2,2,300,12,306,7.68,3279,3.6,"Dice Rolling, Hexagon Grid, Simulation","Wargames",17,"4"
"Warhammer 40,000 (Fourth Edition)",2,6,60,10,1111,6.48,3280,3.51,"Dice Rolling, Modular Board, Variable Player Powers","Wargames",18,"4"
"Stellar Conflict",2,4,10,10,844,6.49,3281,1.32,"Tile Placement, Variable Player Powers","Basic",7,"4"
"Elk Fest",2,2,15,8,1806,6.16,3282,1.05,"Flicking, Modular Board","Family Games",23,"4"
"Arraial",1,4,30,8,698,6.66,3283,1.5,"Action Points, Pattern Building, Solo , Solitaire Game","Family Games",4,"4"
"Infinite City",2,6,45,10,1744,6.2,3284,1.89,"Area Majority , Influence, Hand Management, Tile Placement","Strategy Games",13,"4"
"The Ruhr: A Story of Coal Trade",2,4,120,12,486,6.96,3285,3.57,"Pick-up and Deliver, Worker Placement","Basic",5,"4"
"Boomerang: Australia",2,4,30,8,438,7.08,3286,1.58,"Card Drafting, Set Collection","Basic",2,"4"
"A Game of Thrones Collectible Card Game",2,5,30,0,610,6.86,3287,2.9,"Hand Management","Customizable Games",20,"4"
"Raids",2,4,40,10,682,6.8,3288,2.3,"Not mentioned","Family Games, Strategy Games",4,"4"
"Mystery of the Temples",2,4,40,10,760,6.71,3289,2.44,"Action Queue, Area Majority , Influence, Pattern Recognition, Set Collection, Variable Player Powers","Basic",5,"4"
"Friese's Landlord",2,6,40,12,880,6.5,3290,1.77,"Hand Management, Income, Take That","Family Games, Thematic Games",9,"4"
"Soviet Dawn: The Russian Civil War, 1918-1921",1,1,60,13,459,7.06,3291,1.63,"Action Points, Campaign , Battle Card Driven, Dice Rolling, Events, Point to Point Movement, Solo , Solitaire Game","Wargames",13,"4"
"Divine Right",2,6,360,12,551,7.12,3292,3.18,"Card Drafting, Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Player Elimination, Simulation, Variable Phase Order, Variable Player Powers","Thematic Games, Wargames",43,"4"
"Detective Stories: Case 1 - The Fire in Adlerstein",1,5,120,13,286,7.85,3293,2.44,"Not mentioned","Basic",4,"4"
"Scopa",2,6,30,8,821,6.55,3294,1.51,"Hand Management, Memory, Set Collection, Team-Based Game","Family Games",422,"4"
"Axis & Allies Miniatures",2,2,60,10,1087,6.51,3295,2.29,"Campaign , Battle Card Driven, Card Drafting, Dice Rolling, Roll , Spin and Move","Customizable Games, Wargames",17,"4"
"Pluckin' Pairs",3,8,50,12,610,6.73,3296,1.09,"Simultaneous Action Selection, Storytelling, Voting","Party Games",10,"4"
"Cosmic Encounter Duel",2,2,30,14,413,7.24,3297,2.55,"Hand Management, Race, Simultaneous Action Selection, Take That, Variable Player Powers","Basic",2,"4"
"The Stars Are Right",2,4,55,12,1324,6.31,3298,2.45,"Hand Management, Modular Board, Pattern Building, Pattern Recognition, Tile Placement","Strategy Games",14,"4"
"Tuki",2,4,45,8,528,6.93,3299,1.11,"Dice Rolling, Finale Ending, Pattern Building, Pattern Recognition, Player Elimination, Race, Stacking and Balancing","Basic",3,"4"
"Arena: For the Gods!",2,6,40,8,848,6.51,3300,1.82,"Auction,Bidding, Dice Rolling, Grid Movement","Basic",5,"4"
"Hive Mind",3,12,90,8,459,7.11,3301,1.14,"Cooperative Game, Paper-and-Pencil","Party Games",6,"4"
"Terminator Genisys: Rise of the Resistance",1,4,120,14,281,8.3,3302,2.45,"Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Tile Placement","Basic",4,"5"
"Hart an der Grenze",3,6,40,10,940,6.45,3303,1.42,"Hand Management","Party Games",16,"4"
"Tin Goose",3,5,150,14,482,6.96,3304,3,"Auction,Bidding, Network and Route Building, Point to Point Movement","Strategy Games",6,"4"
"Big Points",2,5,20,8,874,6.46,3305,1.35,"Set Collection","Family Games",14,"4"
"Fealty",2,4,30,14,646,6.68,3306,2.44,"Area Majority , Influence, Enclosure, Hand Management, Modular Board, Simultaneous Action Selection","Abstract Games, Strategy Games",11,"4"
"Endangered",1,5,90,10,325,7.66,3307,2.5,"Cooperative Game, Dice Rolling, Push Your Luck, Worker Placement with Dice Workers","Basic",2,"4"
"Rolling Ranch",2,20,20,14,588,6.81,3308,1.18,"Dice Rolling, Paper-and-Pencil","Basic",3,"4"
"Gloria Picktoria",2,5,45,10,1048,6.35,3309,1.48,"Card Drafting, Set Collection","Family Games",26,"4"
"Piraten kapern",2,5,30,8,1233,6.34,3310,1.08,"Dice Rolling, Push Your Luck, Set Collection","Family Games",10,"4"
"The Lord of the Rings: The Two Towers Deck-Building Game",2,5,45,15,583,6.86,3311,2.19,"Deck Bag and Pool Building","Thematic Games",9,"4"
"Barbarossa",2,5,60,18,594,6.84,3312,2.6,"Card Drafting, Deck Bag and Pool Building, Hand Management","Thematic Games",12,"4"
"Boomerang",2,4,45,10,436,7.06,3313,1.67,"Card Drafting, Paper-and-Pencil, Set Collection","Basic",4,"4"
"Successors (First/Second Edition)",2,4,180,12,484,7.02,3314,3.19,"Campaign , Battle Card Driven, Dice Rolling, Point to Point Movement","Wargames",25,"4"
"Direwild",2,4,90,13,365,7.61,3315,2.8,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Variable Player Powers","Basic",4,"4"
"Province",2,2,25,13,1243,6.3,3316,1.82,"Rondel, Worker Placement","Strategy Games",8,"4"
"Demon Worker",3,4,45,10,432,7.08,3317,2.46,"Worker Placement","Basic",6,"4"
"Mechanica",1,4,75,12,559,7,3318,2.32,"Network and Route Building, Tile Placement","Family Games, Strategy Games",2,"4"
"Elements",2,2,20,8,541,6.83,3319,1.4,"Hand Management","Abstract Games, Family Games",12,"4"
"Smash Up: That '70s Expansion",2,2,45,14,327,7.58,3320,2.67,"Area Majority , Influence, Hand Management, Take That, Variable Player Powers","Basic",4,"4"
"Journal 29: Interactive Book Game",1,0,120,14,451,7.09,3321,2.5,"Paper-and-Pencil","Basic",5,"4"
"Exoplanets",2,4,60,12,757,6.6,3322,2.37,"Area Majority , Influence, Card Drafting, Hand Management, Tile Placement","Family Games, Strategy Games",7,"4"
"Biosphere",2,6,90,12,343,7.41,3323,3.38,"Action Points, Area Majority , Influence, Card Drafting, Grid Movement","Basic",5,"4"
"Lagoon: Land of Druids",1,4,60,14,1303,6.3,3324,2.73,"Grid Movement, Hexagon Grid, Modular Board, Rock-Paper-Scissors, Stock Holding, Tile Placement","Abstract Games, Strategy Games",8,"4"
"Origami",2,4,30,8,614,6.76,3325,1.83,"Card Drafting, Hand Management, Layering, Set Collection","Basic",5,"4"
"Fleet Wharfside",2,4,30,13,494,6.91,3326,1.71,"Hand Management, Set Collection","Basic",7,"4"
"Lascaux",3,5,25,8,1069,6.35,3327,1.58,"Auction,Bidding, Set Collection, Simultaneous Action Selection","Family Games",15,"4"
"Bugs in the Kitchen",2,4,20,6,1777,6.17,3328,1.05,"Roll , Spin and Move","Children's Games",9,"4"
"Reworld",2,4,90,12,617,6.84,3329,2.56,"Not mentioned","Strategy Games",5,"4"
"DAK2: The Campaign in North Africa, 1940-1942",1,2,360,14,273,8.29,3330,4.38,"Dice Rolling, Hexagon Grid, Simulation","Wargames",18,"5"
"Yggdrasil Chronicles",1,5,90,14,368,7.43,3331,3,"Cooperative Game, Map Deformation, Scenario , Mission , Campaign Game, Three Dimensional Movement, Turn Order: Auction, Variable Player Powers","Thematic Games",3,"4"
"Celles: The Ardennes, December 23-27, 1944",2,2,180,13,277,7.85,3332,2.3,"Chit-Pull System, Hexagon Grid, Simulation","Wargames",10,"4"
"Café",1,4,45,8,283,7.84,3333,1.88,"Action Points, Highest-Lowest Scoring, Layering, Melding and Splaying, Pick-up and Deliver, Tile Placement","Abstract Games, Strategy Games",2,"4"
"Wildlife Adventure",2,6,60,10,572,6.8,3334,1.88,"Network and Route Building, Point to Point Movement","Family Games",37,"4"
"Versailles",2,5,90,12,799,6.52,3335,2.75,"Point to Point Movement, Rondel, Tile Placement","Strategy Games",8,"4"
"Men of Iron",2,2,180,12,545,6.86,3336,2.72,"Hexagon Grid","Wargames",17,"4"
"Lost Valley: The Yukon Goldrush 1896",2,6,45,10,584,6.77,3337,2.88,"Dice Rolling, Modular Board, Tile Placement","Strategy Games",8,"4"
"Hats",2,4,30,14,497,6.95,3338,2.23,"Hand Management, Set Collection, Team-Based Game","Basic",3,"4"
"Vampire Empire",2,2,30,10,616,6.73,3339,2.18,"Hand Management","Strategy Games",10,"4"
"Unicornus Knights",2,6,90,12,464,7.07,3340,3.33,"Bias, Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","Thematic Games",6,"4"
"Mhing",2,6,60,10,670,6.68,3341,2.11,"Set Collection","Abstract Games, Family Games",40,"4"
"Alhambra: The Card Game",2,6,45,10,938,6.42,3342,1.72,"Area Majority , Influence, Card Drafting, Hand Management, Set Collection","Family Games",30,"4"
"Grant Takes Command",2,2,120,12,260,7.96,3343,3.71,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Scenario , Mission , Campaign Game, Simulation","Wargames",21,"4"
"De Vulgari Eloquentia: Deluxe Edition",2,5,120,14,266,7.99,3344,3.71,"Action Points, End Game Bonuses, Set Collection, Track Movement, Turn Order: Stat-Based, Variable Set-up","Basic",3,"4"
"Iquazú",2,4,50,10,545,6.84,3345,1.73,"Area Majority , Influence, Hand Management, Modular Board, Set Collection","Family Games",5,"4"
"Stonewall in the Valley",2,2,840,12,307,7.72,3346,3.41,"Dice Rolling, Hexagon Grid","Wargames",27,"4"
"Exploding Kittens: Party Pack",2,10,15,7,474,7.27,3347,1,"Hand Management, Player Elimination, Push Your Luck, Set Collection, Take That","Basic",5,"4"
"Marvel Villainous: Infinite Power",2,4,80,12,513,7.14,3348,2.55,"Action Points, Hand Management, Variable Player Powers","Basic",2,"4"
"1776: The Game of the American Revolutionary War",2,2,120,12,964,6.5,3349,3.12,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Simulation","Wargames",48,"4"
"Antidote",2,7,30,13,1179,6.36,3350,1.63,"Hand Management, Simultaneous Action Selection, Team-Based Game, Variable Phase Order","Family Games, Party Games",9,"4"
"Mini Mölkky",2,99,30,6,308,7.56,3351,1.22,"Player Elimination","Basic",9,"4"
