"name","min_players","max_players","play_time","min_age","users_rated","rating_average","bgg_rank","complexity_average","mechanics","domains","game_age","Stars"
"Wrathborne Champions",2,6,180,13,54,7.42,10002,2,"Cooperative Game, Deck Bag and Pool Building, Pattern Recognition, Variable Player Powers","Basic",2022,"4"
"Niki Lauda's Formel 1",2,6,90,10,53,7.08,10003,1.6,"Auction,Bidding","Basic",42,"4"
"Flutter",2,10,60,8,91,6.55,10004,1.67,"Commodity Speculation, Dice Rolling, Stock Holding","Basic",72,"4"
"Jigūan: The Eastern Mechanist",2,4,90,14,78,6.69,10005,3.25,"Action Points, Area Majority , Influence, Card Drafting, Set Collection","Basic",3,"4"
"Copa",2,5,30,7,75,6.68,10006,1.67,"Modular Board","Basic",9,"4"
"Mini Cywilizacja",2,5,30,8,114,6.35,10007,2,"Card Drafting","Basic",7,"4"
"Galactic Strike Force",2,6,60,13,465,5.73,10008,3.31,"Cooperative Game, Deck Bag and Pool Building","Thematic Games",8,"3"
"Arcadia",2,4,60,8,272,5.85,10009,2,"Hand Management, Set Collection, Simulation","Basic",7,"3"
"Ben Hur",2,6,90,10,75,6.57,10010,1.83,"Resource to Move","Basic",35,"4"
"General Quarters (Third Edition)",2,12,120,12,45,7.38,10011,3.4,"Simulation","Wargames",16,"4"
"Kadesh:  Mobile Warfare in the Ancient Middle East",2,2,120,12,95,6.46,10012,3.08,"Hexagon Grid","Wargames",31,"4"
"Bilder",2,12,60,8,64,6.84,10013,2,"Pattern Building, Simulation","Basic",4,"4"
"Command at Sea: 4th Edition - War at Sea 1926-1955",1,8,0,12,39,7.96,10014,4.2,"Dice Rolling, Simulation, Simultaneous Action Selection","Wargames",14,"4"
"Melee & Wizard",2,0,60,10,40,8.49,10015,2.5,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Scenario , Mission , Campaign Game, Simulation, Variable Player Powers","Basic",4,"5"
"Gutshot",2,10,240,12,40,7.77,10016,2.89,"Action Points, Chit-Pull System, Dice Rolling, Variable Player Powers","Basic",17,"4"
"Il Cucco",2,40,2,8,111,6.21,10017,1.27,"Player Elimination, Trading","Basic",2022,"4"
"Twilight of the Ottomans: World War I in the Middle East",2,2,360,12,53,7.11,10018,2.88,"Hexagon Grid","Wargames",15,"4"
